EXP,TRIAL_TYPE,TEXT,COLOR,WAIT,RESPTIME,RT,TRUE_KEY,ANSWER,CORR
training,neutral,,red,1,4,0.9720280170440674,n,z,False
training,neutral,,#574400,1,4,1.560102939605713,m,z,False
training,neutral,,green,1,4,1.0298280715942383,z,z,True
training,neutral,,#574400,1,4,1.4098021984100342,m,z,False
training,neutral,,#5e75d9,1,4,1.7552158832550049,x,z,False
training,neutral,,#574400,1,4,1.6770281791687012,m,z,False
training,neutral,,green,1,4,1.0596091747283936,z,z,True
training,neutral,,#574400,1,4,1.2296249866485596,m,z,False
training,neutral,,green,1,4,1.0107219219207764,z,z,True
training,neutral,,#574400,1,4,1.3413171768188477,m,z,False
training,congruent_strong,CZERWONY,red,1,4,-1,n,-,False
training,incongruent_weak,NIEBIESKI,#574400,1,4,-1,m,-,False
training,incongruent_strong,CZERWONY,#5e75d9,1,4,-1,x,-,False
training,congruent_weak,BRAZOWY,#574400,1,4,-1,m,-,False
training,congruent_weak,ZIELONY,green,1,4,-1,z,-,False
training,congruent_weak,CZERWONY,red,1,4,-1,n,-,False
training,congruent_weak,BRAZOWY,#574400,1,4,-1,m,-,False
training,congruent_strong,CZERWONY,red,1,4,-1,n,-,False
training,incongruent_strong,NIEBIESKI,#574400,1,4,-1,m,-,False
training,incongruent_weak,ZIELONY,red,1,4,-1,n,-,False
training,incongruent_weak,CZERWONY,green,1,4,-1,z,-,False
training,congruent_strong,BRAZOWY,#574400,1,4,-1,m,-,False
training,congruent_weak,CZERWONY,red,1,4,-1,n,-,False
training,incongruent_weak,ZIELONY,#574400,1,4,-1,m,-,False
training,incongruent_strong,CZERWONY,#5e75d9,1,4,-1,x,-,False
training,congruent_strong,ZIELONY,green,1,4,-1,z,-,False
training,congruent_weak,BRAZOWY,#574400,1,4,-1,m,-,False
training,congruent_strong,ZIELONY,green,1,4,-1,z,-,False
training,congruent_weak,BRAZOWY,#574400,1,4,-1,m,-,False
training,congruent_strong,NIEBIESKI,#5e75d9,1,4,-1,x,-,False
training,incongruent_weak,CZERWONY,green,1,4,-1,z,-,False
training,incongruent_weak,NIEBIESKI,red,1,4,-1,n,-,False
training,incongruent_weak,CZERWONY,#5e75d9,1,4,-1,x,-,False
training,congruent_weak,BRAZOWY,#574400,1,4,-1,m,-,False
training,congruent_weak,ZIELONY,green,1,4,-1,z,-,False
training,incongruent_strong,NIEBIESKI,red,1,4,-1,n,-,False
training,incongruent_weak,CZERWONY,#5e75d9,1,4,-1,x,-,False
training,incongruent_strong,BRAZOWY,green,1,4,-1,z,-,False
training,incongruent_weak,NIEBIESKI,red,1,4,-1,n,-,False
training,congruent_strong,ZIELONY,green,1,4,-1,z,-,False
